 Date,Line,Distance,Temp
12/10/09,375,0.285,20.4
12/10/09,375,0.415,21.2
12/10/09,375,0.474,20.4
12/10/09,375,0.519,21.3
12/10/09,375,0.557,20.4
12/10/09,375,0.625,21.3
12/10/09,375,0.638,20.4
12/10/09,375,0.660,20.4
12/10/09,375,0.776,20.4
12/10/09,375,0.786,20.4
12/10/09,375,0.791,21.2
12/10/09,375,0.849,20.5
12/10/09,375,0.854,20.4
12/10/09,375,0.883,20.4
12/10/09,375,0.909,20.4
12/10/09,375,0.964,20.4
12/10/09,375,1.093,20.4
12/10/09,375,1.102,20.4
12/10/09,375,1.175,21.2
12/10/09,375,1.176,20.4
12/10/09,375,1.202,20.5
12/10/09,375,1.219,20.4
12/10/09,375,1.235,21.2
12/10/09,375,1.301,21.3
12/10/09,375,1.343,20.5
12/10/09,375,1.401,21.3
12/10/09,375,1.487,20.5
12/10/09,375,1.541,20.4
12/10/09,375,1.593,21.3
12/10/09,375,1.603,20.5
12/10/09,375,2.062,20.5
12/10/09,375,2.186,20.4
12/10/09,375,2.197,20.4
12/10/09,375,2.504,20.4
12/10/09,375,2.609,21.2
12/10/09,375,3.666,20.5
12/10/09,375,3.726,21.2
12/10/09,375,4.010,21.2
12/10/09,375,4.280,21.3
12/10/09,375,4.535,21.3
12/10/09,375,4.569,20.4
12/10/09,375,4.608,21.2
12/10/09,375,4.681,20.5
12/10/09,375,4.760,21.3
12/10/09,375,4.822,20.5
12/10/09,375,6.028,20.4
12/10/09,375,6.201,20.4
12/10/09,375,6.262,20.5
12/10/09,375,6.827,20.4
12/10/09,375,6.914,20.5
12/10/09,375,10.147,20.4
12/21/09,379,0.270,21.7
12/21/09,379,0.420,21.7
1/11/10,379,0.448,22.7
1/11/10,379,0.466,22.7
12/21/09,379,0.512,21.2
1/11/10,379,0.562,22.7
1/2/10,379,0.571,21.7
12/21/09,379,0.691,21.7
12/21/09,379,0.693,21.7
1/11/10,379,0.693,22.7
1/11/10,379,0.711,22.7
12/21/09,379,0.724,21.7
1/11/10,379,0.763,22.7
1/11/10,379,0.788,22.7
1/11/10,379,0.808,22.7
1/11/10,379,0.946,22.7
12/21/09,379,1.022,21.2
1/11/10,379,1.165,22.7
11/23/09,379,1.194,21.1
12/10/09,379,1.236,21
1/11/10,379,1.251,22.7
12/10/09,379,1.298,21.1
12/21/09,379,1.320,21.7
12/10/09,379,1.340,21.1
1/11/10,379,1.354,22.7
12/21/09,379,1.381,21.2
12/21/09,379,1.386,21.2
1/11/10,379,1.435,22.7
1/11/10,379,1.451,22.7
12/21/09,379,1.466,21.7
1/2/10,379,1.503,21.7
12/21/09,379,1.548,21.7
11/23/09,379,1.585,21.1
1/11/10,379,1.648,22.7
11/23/09,379,1.665,21.1
12/10/09,379,1.766,21.1
12/10/09,379,1.818,21
1/11/10,379,1.856,22.7
12/21/09,379,2.087,21.2
1/11/10,379,2.180,22.7
1/2/10,379,2.777,21.7
12/10/09,379,3.728,21
12/10/09,379,4.305,21
12/10/09,379,4.368,21
1/11/10,379,4.412,22.7
1/11/10,379,4.436,22.7
12/10/09,379,4.474,21
12/10/09,379,4.612,21
12/10/09,379,4.981,21
12/10/09,379,5.680,21
12/10/09,379,6.115,21
