Day,Strain,Pathlength,Line
2,25181,7.848,315
2,25181,8.436,315
2,25181,2.65,315
2,25181,9.508,315
2,25181,6.378,315
2,25181,5.072,315
2,25181,9.19,315
2,25181,7.95,315
2,25181,5.494,315
2,25181,10.858,315
2,25181,6.588,315
2,25181,5.938,315
2,25181,8.728,315
2,25181,6.016,315
2,25181,5.4,315
2,25181,9.734,315
2,25181,7.076,315
2,25181,9.494,315
3,25181,10.692,315
3,25181,10.664,315
3,25181,7.088,315
3,25181,8.424,315
3,25181,7.818,315
3,25181,8.544,315
3,25181,7.656,315
3,25181,7.386,315
3,25181,7.53,315
3,25181,8.854,315
3,25181,7.438,315
3,25181,7.822,315
3,25181,8.528,315
3,25181,6.06,315
3,25181,6.586,315
3,25181,6.168,315
3,25181,5.452,315
3,25181,9.792,315
4,25181,8.618,315
4,25181,5.202,315
4,25181,7.602,315
4,25181,5.336,315
4,25181,7.012,315
4,25181,6.424,315
4,25181,7.512,315
4,25181,6.216,315
4,25181,6.344,315
4,25181,5.888,315
4,25181,0.726,315
4,25181,6.824,315
4,25181,4.706,315
4,25181,5.144,315
4,25181,3.136,315
4,25181,3.598,315
4,25181,4.672,315
4,25181,7.69,315
4,25181,7.832,315
4,25181,4.792,315
5,25181,8.28,315
5,25181,6.956,315
5,25181,8.712,315
5,25181,5.31,315
5,25181,6.362,315
5,25181,7.552,315
5,25181,7.626,315
5,25181,4.99,315
5,25181,9.042,315
5,25181,3.896,315
5,25181,2.822,315
5,25181,8.508,315
5,25181,7.022,315
5,25181,6.7,315
5,25181,8.388,315
5,25181,5.608,315
5,25181,8.882,315
5,25181,5.416,315
5,25181,5.298,315
5,25181,7.142,315
1,25182,5.274,324
1,25182,6.33,324
1,25182,4.63,324
1,25182,5.592,324
1,25182,6.406,324
1,25182,4.888,324
1,25182,3.534,324
1,25182,3.112,324
1,25182,3.174,324
1,25182,6.256,324
1,25182,4.07,324
1,25182,4.524,324
1,25182,1.822,324
1,25182,5.05,324
1,25182,3.946,324
1,25182,1.204,324
1,25182,4.446,324
1,25182,2.128,324
1,25182,1.798,324
1,25182,6.388,324
2,25182,5.536,324
2,25182,2.944,324
2,25182,2.822,324
2,25182,4.53,324
2,25182,2.586,324
2,25182,4.122,324
2,25182,2.924,324
2,25182,2.906,324
2,25182,2.04,324
2,25182,4.376,324
2,25182,3.638,324
2,25182,4.568,324
2,25182,5.128,324
2,25182,3.864,324
2,25182,5.57,324
2,25182,3.408,324
2,25182,1.956,324
2,25182,4.912,324
2,25182,2.158,324
2,25182,1.704,324
3,25182,5.732,324
3,25182,2.712,324
3,25182,5.536,324
3,25182,5.222,324
3,25182,6.566,324
3,25182,5.13,324
3,25182,2.894,324
3,25182,4.216,324
3,25182,5.766,324
3,25182,5.676,324
3,25182,5.06,324
3,25182,5.106,324
3,25182,5.134,324
3,25182,6.89,324
3,25182,6.834,324
3,25182,2.55,324
3,25182,1.506,324
3,25182,2.712,324
3,25182,3.69,324
3,25182,4.702,324
4,25182,4.806,324
4,25182,1.744,324
4,25182,4.11,324
4,25182,4.136,324
4,25182,2.088,324
4,25182,5.832,324
4,25182,1.636,324
4,25182,4.588,324
4,25182,2.142,324
4,25182,4.19,324
4,25182,1.252,324
4,25182,1.038,324
4,25182,3.962,324
4,25182,3.61,324
4,25182,4.218,324
4,25182,1.502,324
4,25182,3.916,324
4,25182,2.204,324
4,25182,1.446,324
4,25182,4.98,324
5,25182,6.224,324
5,25182,5.676,324
5,25182,5.088,324
5,25182,5.03,324
5,25182,6.422,324
5,25182,4.104,324
5,25182,5.674,324
5,25182,4.206,324
5,25182,4.218,324
5,25182,6.388,324
5,25182,6.528,324
5,25182,2.158,324
5,25182,5.444,324
5,25182,6.894,324
5,25182,4.232,324
5,25182,2.354,324
5,25182,4.572,324
5,25182,5.166,324
5,25182,2.534,324
5,25182,7.182,324
1,25183,8.338,335
1,25183,7.388,335
1,25183,8.754,335
1,25183,9.092,335
1,25183,6.342,335
1,25183,8.546,335
1,25183,6.324,335
1,25183,5.876,335
1,25183,8.238,335
1,25183,7.614,335
1,25183,6.59,335
1,25183,4.454,335
1,25183,9.212,335
1,25183,8.242,335
1,25183,8.682,335
1,25183,10.19,335
1,25183,5.944,335
1,25183,8.784,335
1,25183,6.944,335
1,25183,12.598,335
2,25183,7.814,335
2,25183,8.98,335
2,25183,10.054,335
2,25183,8.854,335
2,25183,8.236,335
2,25183,8.216,335
2,25183,8.8,335
2,25183,8.726,335
2,25183,7.086,335
